OTU_ID	Kingdom	Phylum	Class	Order	Family	Genus	Species	High_level_taxonomy	HL_hit_percent_id	HL_hit_query_cover
FOTU_2148	Fungi_1	Ascomycota_1	Eurotiomycetes_1	Eurotiales_1	Aspergillaceae_1	Penicillium_1		Fungi-OEO_O50,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,g__Penicillium	89.552	100
FOTU_2149									0	0
FOTU_2150									0	0
FOTU_2151	Fungi_1	Ascomycota_1	Leotiomycetes_1	Helotiales_1	Myxotrichaceae_1	Oidiodendron_1	Oidiodendron truncatum 		0	0
FOTU_2152	Fungi_1								0	0
FOTU_2153									0	0
FOTU_2154	Fungi_1	Chytridiomycota_1	Spizellomycetes_1	Spizellomycetales_1					0	0
FOTU_2155									0	0
FOTU_2156	Fungi_1	Ascomycota_1	Dothideomycetes_1	Pleosporales_1	Pleosporaceae_1	Stemphylium_1		Fungi-ZANF71,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Pleosporaceae,g__Alternaria	86.139	100
FOTU_2157	Fungi_1	Ascomycota_1	Dothideomycetes_1	Pleosporales_1	Periconiaceae_1	Periconia_1	Periconia chimonanthi 		0	0
FOTU_2158	Fungi_1	Basidiomycota_1	Agaricomycetes_1	Cantharellales_1	Ceratobasidiaceae_1	Rhizoctonia_1		Fungi-ZANF45,p__Basidiomycota,c__Agaricomycetes,o__Cantharellales,f__Ceratobasidiaceae,g__Ceratobasidium	92.079	100
FOTU_2159	Fungi_1	Basidiomycota_1	Malasseziomycetes_1	Malasseziales_1	Malasseziaceae_1	Malassezia_1			0	0
FOTU_2160	Fungi_1	Ascomycota_1	Sordariomycetes_1	Microascales_1	Microascaceae_1	Pithoascus_1			0	0
FOTU_2161	Fungi_1	Ascomycota_1	Sordariomycetes_1	Hypocreales_1	Stachybotryaceae_1				0	0
FOTU_2162	Fungi_1	Chytridiomycota_1	Rhizophydiomycetes_1	Rhizophydiales_1					0	0
FOTU_2163	Fungi_1	Chytridiomycota_1	Rhizophydiomycetes_1	Rhizophydiales_1	Alphamycetaceae_1				0	0
FOTU_2164									0	0
FOTU_2165	Fungi_1	Basidiomycota_1	Agaricomycetes_1	Agaricales_1	Entolomataceae_1	Entoloma_1			0	0
FOTU_2166									0	0
FOTU_2167	Fungi_1	Ascomycota_1	Dothideomycetes_1	Pleosporales_1	Dictyosporiaceae_1	Pseudocoleophoma_1	Pseudocoleophoma yunnanensis 		0	0
FOTU_2168	Fungi_1	Ascomycota_1	Dothideomycetes_1	Pleosporales_1	Pleosporaceae_1	Alternaria_1	Alternaria rosae 		0	0
FOTU_2169	Fungi_1	Basidiomycota_1	Agaricomycetes_1	Agaricales_1	Clavariaceae_1				0	0
FOTU_2170	Fungi_1	Mortierellomycota_1	Mortierellomycetes_1	Mortierellales_1					0	0
