ID,Tube,Trt,Time ,Type,Rep,Weight,Qubit.1,Qubit.2,Sample.Date,Extraction.Date,Notes,,,,,,,,,,
65,S_17hr_Bulk_3,Steamed ,17hrs,Bulk.Soil,3,304.3,34.8,35.3,6/17/2023,9/17/2023,,,,,,,,,,,
66,S_17hr_Bulk_4,Steamed ,17hrs,Bulk.Soil,4,304.3,15.7,15.7,6/17/2023,9/17/2023,,,,,,,,,,,
67,S_17hr_Bulk_7,Steamed ,17hrs,Bulk.Soil,7,301.7,14,14,6/17/2023,9/17/2023,,,,,,,,,,,
68,S_17hr_Bulk_8,Steamed ,17hrs,Bulk.Soil,8,303,11.6,11.7,6/17/2023,9/17/2023,,,,,,,,,,,
43,S_17hr_Sperm_1,Steamed ,17hrs,Spermosphere,1,239.1,11.4,11.1,6/17/2023,9/6/2023,,,,,,,,,,,
48,S_17hr_Sperm_10,Steamed ,17hrs,Spermosphere,10,246.7,6.8,6.75,6/17/2023,9/6/2023,,,,,,,,,,,
49,S_17hr_Sperm_11,Steamed ,17hrs,Spermosphere,11,217.6,13.7,13.4,6/17/2023,9/6/2023,,,,,,,,,,,
50,S_17hr_Sperm_14,Steamed ,17hrs,Spermosphere,14,248.3,15.1,14.7,6/17/2023,9/6/2023,,,,,,,,,,,
51,S_17hr_Sperm_18,Steamed ,17hrs,Spermosphere,18,248.2,4.86,4.76,6/17/2023,9/6/2023,,,,,,,,,,,
52,S_17hr_Sperm_20,Steamed ,17hrs,Spermosphere,20,NA,NA,NA,6/17/2023,9/6/2023,,,,,,,,,,,
44,S_17hr_Sperm_3,Steamed ,17hrs,Spermosphere,3,242.7,15.6,15.6,6/17/2023,9/6/2023,,,,,,,,,,,
45,S_17hr_Sperm_4,Steamed ,17hrs,Spermosphere,4,239.1,16,15.9,6/17/2023,9/6/2023,,,,,,,,,,,
46,S_17hr_Sperm_7,Steamed ,17hrs,Spermosphere,7,249.8,5.7,5.72,6/17/2023,9/6/2023,,,,,,,,,,,
