vsearch v2.22.1_linux_x86_64, 1007.5GB RAM, 128 cores
vsearch -fastq_stats trimmed/trimmed.fastq -log stats/stats_results.txt
Started  Tue Jan 23 20:56:16 2024

Read length distribution
      L           N      Pct   AccPct
-------  ----------  -------  -------
>=  518           1     0.0%     0.0%
   83    99.9%  40.9  0.00008  0.000287   0.02   0.000203    0.020%
   84    99.9%  41.0  0.00008  0.000122   0.02   0.000202    0.020%
   85    99.9%  40.9  0.00008  0.000176   0.02   0.000202    0.020%
   86    99.9%  40.9  0.00008  0.000258   0.02   0.000202    0.020%
   87    99.9%  40.9  0.00008  0.000246   0.02   0.000203    0.020%
   88    99.9%  41.0  0.00008  0.000135   0.02   0.000202    0.020%
   89    99.9%  41.0  0.00008  0.000113   0.02   0.000201    0.020%
   90    99.9%  40.9  0.00008  0.000159   0.02   0.000201    0.020%
   91    99.9%  40.9  0.00008  0.000153   0.02   0.000200    0.020%
   92    99.9%  40.9  0.00008  0.000153   0.02   0.000200    0.020%
   93    99.9%  40.9  0.00008  0.000163   0.02   0.000199    0.020%
   94    99.9%  41.0  0.00008  0.000136   0.02   0.000199    0.020%
   95    99.9%  40.9  0.00008  0.000154   0.02   0.000198    0.020%
   96    99.9%  40.9  0.00008  0.000143   0.02   0.000197    0.020%
   97    99.9%  40.9  0.00008  0.000134   0.02   0.000197    0.020%
   98    99.9%  40.9  0.00008  0.000161   0.02   0.000196    0.020%
   99    99.9%  41.0  0.00008  0.000123   0.02   0.000196    0.020%
  100    99.9%  41.0  0.00008  0.000123   0.02   0.000195    0.019%
  101    99.9%  41.0  0.00008  0.000133   0.02   0.000194    0.019%
  102    99.9%  40.8  0.00008  0.000544   0.02   0.000198    0.020%
  103    99.9%  40.9  0.00008  0.000192   0.02   0.000198    0.020%
  104    99.9%  41.0  0.00008  0.000148   0.02   0.000197    0.020%
  105    99.9%  40.9  0.00008  0.000170   0.02   0.000197    0.020%
  106    99.9%  41.0  0.00008  0.000108   0.02   0.000196    0.020%
  107    99.9%  41.0  0.00008  0.000139   0.02   0.000196    0.020%
  108    99.9%  41.0  0.00008  0.000137   0.02   0.000195    0.020%
  109    99.9%  41.0  0.00008  0.000103   0.02   0.000194    0.019%
  110    99.9%  41.0  0.00008  0.000100   0.02   0.000193    0.019%
  111    99.9%  41.0  0.00008  0.000120   0.02   0.000193    0.019%
  112    99.9%  41.0  0.00008  0.000112   0.02   0.000192    0.019%
  113    99.9%  41.0  0.00008  0.000140   0.02   0.000192    0.019%
  114    99.9%  41.0  0.00008  0.000136   0.02   0.000191    0.019%
  115    99.9%  41.0  0.00008  0.000141   0.02   0.000191    0.019%
  116    99.9%  41.0  0.00008  0.000139   0.02   0.000190    0.019%
  117    99.9%  41.0  0.00008  0.000131   0.02   0.000190    0.019%
  118    99.9%  41.0  0.00008  0.000112   0.02   0.000189    0.019%
  119    99.9%  41.0  0.00008  0.000128   0.02   0.000189    0.019%
  120    99.9%  41.0  0.00008  0.000143   0.02   0.000188    0.019%
  121    99.9%  41.0  0.00008  0.000102   0.02   0.000187    0.019%
  122    99.9%  41.0  0.00008  0.000128   0.02   0.000187    0.019%
  123    99.9%  41.0  0.00008  0.000108   0.02   0.000186    0.019%
  124    99.9%  41.0  0.00008  0.000128   0.02   0.000186    0.019%
  125    99.9%  40.9  0.00008  0.000166   0.02   0.000186    0.019%
  126    99.9%  41.0  0.00008  0.000144   0.02   0.000185    0.019%
  127    99.9%  41.0  0.00008  0.000153   0.02   0.000185    0.019%
  128    99.9%  41.0  0.00008  0.000143   0.02   0.000185    0.018%
  129    99.9%  40.9  0.00008  0.000200   0.02   0.000185    0.018%
  130    99.8%  40.9  0.00008  0.000151   0.02   0.000185    0.018%
  131    99.8%  41.0  0.00008  0.000091   0.02   0.000184    0.018%
  132    99.8%  41.0  0.00008  0.000132   0.02   0.000183    0.018%
  133    99.8%  41.0  0.00008  0.000091   0.02   0.000183    0.018%
  134    99.8%  41.0  0.00008  0.000102   0.02   0.000182    0.018%
  135    99.8%  40.9  0.00008  0.000164   0.02   0.000182    0.018%
  136    99.8%  41.0  0.00008  0.000139   0.02   0.000182    0.018%
  137    99.8%  41.0  0.00008  0.000133   0.02   0.000181    0.018%
  138    99.8%  41.0  0.00008  0.000120   0.02   0.000181    0.018%
  139    99.8%  41.0  0.00008  0.000122   0.03   0.000180    0.018%
  140    99.8%  41.0  0.00008  0.000104   0.03   0.000180    0.018%
  141    99.8%  41.0  0.00008  0.000099   0.03   0.000179    0.018%
  142    99.8%  41.0  0.00008  0.000107   0.03   0.000179    0.018%
  143    99.8%  41.0  0.00008  0.000123   0.03   0.000178    0.018%
  144    99.8%  41.0  0.00008  0.000130   0.03   0.000178    0.018%
  145    99.8%  41.0  0.00008  0.000136   0.03   0.000178    0.018%
  146    99.8%  41.0  0.00008  0.000152   0.03   0.000178    0.018%
  147    99.8%  41.0  0.00008  0.000145   0.03   0.000177    0.018%
  148    99.8%  40.9  0.00008  0.000270   0.03   0.000178    0.018%
  149    99.8%  40.9  0.00008  0.000194   0.03   0.000178    0.018%
  150    99.8%  41.0  0.00008  0.000114   0.03   0.000178    0.018%
  151    99.8%  40.9  0.00008  0.000172   0.03   0.000178    0.018%
  152    99.8%  41.0  0.00008  0.000106   0.03   0.000177    0.018%
  153    99.8%  41.0  0.00008  0.000145   0.03   0.000177    0.018%
  154    99.8%  40.9  0.00008  0.000152   0.03   0.000177    0.018%
  155    99.8%  41.0  0.00008  0.000102   0.03   0.000176    0.018%
  156    99.8%  40.9  0.00008  0.000182   0.03   0.000176    0.018%
  157    99.8%  41.0  0.00008  0.000114   0.03   0.000176    0.018%
  158    99.8%  41.0  0.00008  0.000100   0.03   0.000176    0.018%
  159    99.8%  40.9  0.00008  0.000158   0.03   0.000175    0.018%
  160    99.8%  41.0  0.00008  0.000105   0.03   0.000175    0.017%
