OTU,Kingdom,Phylum,Class,Order,Family ,Genus
BOTU_6257,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella
BOTU_6306,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Roseomonas
BOTU_6338,Bacteria,Elusimicrobiota,Elusimicrobia,Lineage_IV,Lineage_IV,Lineage_IV
BOTU_6310,Bacteria,Armatimonadota,Fimbriimonadia,Fimbriimonadales,Fimbriimonadaceae,Fimbriimonadaceae
BOTU_6286,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas
BOTU_6349,Bacteria,Dependentiae,Babeliae,Babeliales,uncultured_bacterium,unidentified
BOTU_6313,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,unidentified
BOTU_6341,Bacteria,Entotheonellaeota,Entotheonellia,Entotheonellales,Entotheonellaceae,Entotheonellaceae
BOTU_6323,Bacteria,WPS-2,WPS-2,WPS-2,WPS-2,WPS-2
BOTU_6371,Bacteria,Patescibacteria,Berkelbacteria,Berkelbacteria,Berkelbacteria,Berkelbacteria
BOTU_6362,Bacteria,Chloroflexi,Anaerolineae,RBG-13-54-9,RBG-13-54-9,RBG-13-54-9
BOTU_6325,Bacteria,Myxococcota,Polyangia,Polyangiales,Phaselicystidaceae,Phaselicystis
BOTU_6356,Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio
BOTU_6366,Bacteria,Dependentiae,Babeliae,Babeliales,UBA12409,UBA12409
BOTU_6320,Bacteria,Myxococcota,Polyangia,Polyangiales,Polyangiaceae,Pajaroellobacter
BOTU_6329,Bacteria,SAR324_clade(Marine_group_B),SAR324_clade(Marine_group_B),SAR324_clade(Marine_group_B),SAR324_clade(Marine_group_B),SAR324_clade(Marine_group_B)
BOTU_6331,Bacteria,Proteobacteria,Gammaproteobacteria,CHAB-XI-27,CHAB-XI-27,CHAB-XI-27
BOTU_6369,Bacteria,Dependentiae,Babeliae,Babeliales,Vermiphilaceae,Vermiphilaceae
BOTU_6259,Bacteria,Firmicutes,Clostridia,Clostridia,Hungateiclostridiaceae,uncultured_bacterium
BOTU_6342,Bacteria,Myxococcota,Myxococcia,Myxococcales,Myxococcaceae,uncultured
BOTU_6318,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,uncultured_bacterium
BOTU_6382,Bacteria,Dependentiae,Babeliae,Babeliales,Babeliales,Babeliales
BOTU_6358,Bacteria,unidentified,unidentified,unidentified,unidentified,unidentified
BOTU_6361,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,uncultured
BOTU_6302,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas
BOTU_6328,Bacteria,Actinobacteriota,MB-A2-108,MB-A2-108,MB-A2-108,MB-A2-108
BOTU_6345,Bacteria,Chloroflexi,Chloroflexia,Thermomicrobiales,Thermomicrobiaceae,Nitrolancea
BOTU_6332,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,uncultured,uncultured
BOTU_6388,Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,Rubinisphaeraceae,uncultured
BOTU_6304,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,Haliangium
BOTU_6350,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Solirubrobacter
BOTU_6392,Bacteria,Patescibacteria,Kazania,Kazania,Kazania,Kazania
BOTU_6314,Bacteria,Proteobacteria,Gammaproteobacteria,unidentified,unidentified,unidentified
BOTU_6307,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Candidatus_Megaira
