"","OTU","Kingdom","Phylum","Class","Order","Family","Genus","Species","Lowest_Taxonomic_Rank","Label"
"FOTU_1961","FOTU_1961","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","FOTU_1961_unidentified"
"FOTU_1962","FOTU_1962","Fungi","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","Fungi","FOTU_1962_Fungi"
"FOTU_1963","FOTU_1963","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Talaromyces","unicus","Talaromyces_unicus","FOTU_1963_Talaromyces_unicus"
"FOTU_1964","FOTU_1964","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","FOTU_1964_unidentified"
"FOTU_1965","FOTU_1965","Fungi","Ascomycota","unidentified","unidentified","unidentified","unidentified","unidentified","Ascomycota","FOTU_1965_Ascomycota"
"FOTU_1966","FOTU_1966","Fungi","Rozellomycota","Rozellomycota_cls_Incertae_sedis","Rozellomycota_ord_Incertae_sedis","Rozellomycota_fam_Incertae_sedis","Rozellomycota_gen_Incertae_sedis","unidentified","Rozellomycota_gen_Incertae_sedis","FOTU_1966_Rozellomycota_gen_Incertae_sedis"
"FOTU_1967","FOTU_1967","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Neoascochyta","exitialis","Neoascochyta_exitialis","FOTU_1967_Neoascochyta_exitialis"
"FOTU_1968","FOTU_1968","Mocki","Mockmycota","Mockomycetes","Mockoales","Mockoaecea","Mock","unidentified","unidentified","FOTU_1968_Mock"
"FOTU_1969","FOTU_1969","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Stachybotryaceae","Myxospora","unidentified","Myxospora","FOTU_1969_Myxospora"
"FOTU_1970","FOTU_1970","Viridiplantae","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","Viridiplantae","FOTU_1970_Viridiplantae"
"FOTU_1971","FOTU_1971","Fungi","Ascomycota","unidentified","unidentified","unidentified","unidentified","unidentified","Ascomycota","FOTU_1971_Ascomycota"
"FOTU_1972","FOTU_1972","Fungi","Ascomycota","Dothideomycetes","Dothideales","Dothioraceae","Dothiora","unidentified","Dothiora","FOTU_1972_Dothiora"
"FOTU_1973","FOTU_1973","Fungi","Basidiomycota","Ustilaginomycetes","Ustilaginales","Ustilaginaceae","Moesziomyces","unidentified","Moesziomyces","FOTU_1973_Moesziomyces"
"FOTU_1974","FOTU_1974","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Capnodiales_fam_Incertae_sedis","Arthrocatena","tenebrio","Arthrocatena_tenebrio","FOTU_1974_Arthrocatena_tenebrio"
"FOTU_1975","FOTU_1975","Fungi","Kickxellomycota","Ramicandelaberomycetes","Ramicandelaberales","Ramicandelaberales_fam_Incertae_sedis","Ramicandelaberales_gen_Incertae_sedis","unidentified","Ramicandelaberales_gen_Incertae_sedis","FOTU_1975_Ramicandelaberales_gen_Incertae_sedis"
