vsearch v2.22.1_linux_x86_64, 1007.5GB RAM, 128 cores
vsearch -fastq_stats trimmed/trimmed.fastq -log stats/stats_results.txt
Started  Sun Feb  4 14:19:22 2024

Read length distribution
      L           N      Pct   AccPct
-------  ----------  -------  -------
>=  298       11139     0.1%     0.1%
  203    99.9%  30.0  0.00100  0.020963   1.76   0.008666    0.867%
  204    99.9%  30.0  0.00100  0.020967   1.78   0.008727    0.873%
  205    99.9%  30.1  0.00098  0.020968   1.80   0.008786    0.879%
  206    99.9%  30.3  0.00093  0.020509   1.82   0.008843    0.884%
  207    99.9%  30.2  0.00095  0.020630   1.84   0.008900    0.890%
  208    99.9%  30.3  0.00093  0.020486   1.86   0.008956    0.896%
  209    99.9%  30.3  0.00093  0.020551   1.88   0.009011    0.901%
  210    99.9%  30.4  0.00092  0.020409   1.90   0.009065    0.907%
  211    99.9%  30.2  0.00096  0.020848   1.92   0.009121    0.912%
  212    99.9%  30.2  0.00095  0.020918   1.95   0.009177    0.918%
  213    99.9%  30.3  0.00094  0.021056   1.97   0.009232    0.923%
  214    99.9%  30.1  0.00097  0.021551   1.99   0.009290    0.929%
  215    99.9%  30.0  0.00099  0.022168   2.01   0.009350    0.935%
  216    99.9%  29.8  0.00105  0.022846   2.03   0.009412    0.941%
  217    99.9%  29.4  0.00115  0.024207   2.06   0.009480    0.948%
  218    99.9%  29.1  0.00122  0.024924   2.08   0.009551    0.955%
  219    99.9%  29.0  0.00125  0.025048   2.11   0.009621    0.962%
  220    99.9%  29.2  0.00120  0.024727   2.13   0.009690    0.969%
  221    99.9%  29.3  0.00117  0.024367   2.16   0.009756    0.976%
  222    99.8%  29.5  0.00111  0.023385   2.18   0.009818    0.982%
  223    99.8%  29.9  0.00103  0.022276   2.20   0.009873    0.987%
  224    99.8%  30.0  0.00100  0.021688   2.22   0.009926    0.993%
  225    99.8%  29.9  0.00102  0.021511   2.24   0.009978    0.998%
  226    99.8%  29.7  0.00106  0.021922   2.27   0.010030    1.003%
  227    99.8%  29.9  0.00103  0.021563   2.29   0.010081    1.008%
  228    99.8%  29.8  0.00104  0.022258   2.31   0.010134    1.013%
  229    99.8%  29.8  0.00106  0.022886   2.33   0.010190    1.019%
  230    99.8%  29.8  0.00104  0.023257   2.36   0.010247    1.025%
  231    99.8%  29.7  0.00108  0.023920   2.38   0.010306    1.031%
  232    99.7%  29.2  0.00120  0.025451   2.41   0.010383    1.038%
  233    99.7%  29.1  0.00122  0.026056   2.43   0.010450    1.045%
  234    99.7%  29.1  0.00124  0.026925   2.46   0.010520    1.052%
  235    99.7%  28.9  0.00127  0.027316   2.49   0.010592    1.059%
  236    99.7%  28.9  0.00129  0.027524   2.52   0.010664    1.066%
  237    99.7%  28.7  0.00133  0.027154   2.54   0.010733    1.073%
  238    99.7%  28.9  0.00129  0.026651   2.57   0.010800    1.080%
  239    99.7%  29.0  0.00125  0.025836   2.60   0.010863    1.086%
  240    99.7%  29.2  0.00119  0.024801   2.62   0.010921    1.092%
  241    99.7%  29.4  0.00115  0.023765   2.64   0.010974    1.097%
  242    99.7%  29.4  0.00115  0.023576   2.67   0.011026    1.103%
  243    99.7%  29.3  0.00118  0.023800   2.69   0.011079    1.108%
  244    99.7%  29.5  0.00112  0.023368   2.72   0.011129    1.113%
  245    99.7%  29.5  0.00113  0.023578   2.74   0.011180    1.118%
  246    99.7%  29.3  0.00116  0.024033   2.76   0.011232    1.123%
  247    99.7%  29.2  0.00119  0.024126   2.79   0.011284    1.128%
  248    99.7%  29.1  0.00122  0.024593   2.81   0.011338    1.134%
  249    99.7%  29.3  0.00117  0.024112   2.84   0.011389    1.139%
  250    99.7%  29.0  0.00126  0.024775   2.86   0.011443    1.144%
  251    99.7%  29.1  0.00124  0.024752   2.89   0.011496    1.150%
  252    99.7%  29.0  0.00125  0.024894   2.91   0.011549    1.155%
  253    99.7%  29.1  0.00123  0.024465   2.93   0.011600    1.160%
  254    99.7%  29.0  0.00126  0.024847   2.96   0.011652    1.165%
  255    99.7%  28.9  0.00130  0.025538   2.99   0.011706    1.171%
  256    99.7%  28.6  0.00137  0.026763   3.01   0.011765    1.176%
  257    99.7%  28.6  0.00138  0.026914   3.04   0.011824    1.182%
  258    99.7%  28.5  0.00140  0.027487   3.07   0.011884    1.188%
